name,sourceid
20 Microns Limited,53495
3M India Limited,53498
3i Infotech Limited,53501
A B B Limited,53504
A B C Bearings Limited,53507
A B C India Limited,53510
A B G Infralogistics Limited,53512
A B G Shipyard Limited,53515
A B L Biotechnologies Limited,53518
A B M Knowledgeware Limited,53520
A C I Infocom Limited,53522
A D F Foods Limited,53524
A D S Diagnostic Limited,53527
A I A Engineering Limited,53529
A K Capital Services Limited,53532
A M L Steel Limited,53534
A N G Auto Limited,53536
A N S Limited,53539
A P M Industries Limited,53541
A P W President Systems Limited,53543
A R I Consolidated Investments Limited,53545
A S M Technologies Limited,53547
A T N International Limited,53549
A V Cottex Limited,53552
A V T Natural Products Limited,53554
AASTHA Broadcasting Network Limited,53557
ABC Paper Limited,53559
ACC Limited,53561
ACL Projects Limited,53564
AD-Manum Finance Limited,53566
ADC India Communications Limited,53568
AI Champdany Industries Limited,53571
AMD Industries Limited,53574
ARSS Infrastructure Projects Limited,53577
AXIS IT & T Limited,53580
Aadi Industries Limited,53583
Aarey Drugs & Pharmaceuticals Limited,53585
Aarti Drugs Limited,53587
Aarti Industries Limited,53590
Aarvee Denims & Exports Limited,53593
Aaswa Trading & Exports Limited,53596
Aban Offshore Limited,53598
Aban Offshore Limited-PPS,53601
Abbott India Limited,53603
Abc Gas (International) Limited,53606
Abhinav Capital Services Limited,53608
Abhishek Corporation Limited,53610
Abhishek Industries Limited,53613
Abirami Financial Services (India) Limited,53616
Accel Frontline Limited,53618
Accel Transmatic Limited,53621
Accentia Technologies Limited,53623
Accurate Transformers Limited,53625
Ace India Limited,53627
Ace Software Exports Limited,53629
Acil Cotton Industries Limited,53631
Acknit Industries Limited,53633
Ackruti City Limited,53635
Acrow India Limited,53638
Acrysil Limited,53640
Action Construction Equipment Limited,53642
Action Financial Services (India) Limited,53645
Adani Enterprises Limited,53647
Adani Power Limited,53650
Adarsh Plant Protect Limited,53653
Addi Industries Limited,53655
Adhunik Metaliks Limited,53657
Adinath Bio-Labs Limited,53660
Adinath Exim Resources Limited,53662
Aditya Birla Chemicals (India) Limited,53664
Aditya Birla Money Limited,53667
Aditya Birla Nuvo Limited,53670
Aditya Forge Limited,53673
Aditya Ispat Limited,53675
Ador Fontech Limited,53677
Ador Multiproducts Limited,53679
Ador Welding Limited,53681
Advanced Micronic Devices Limited,53684
Advani Hotels & Resorts (I) Limited,53686
Advanta India Limited,53689
Advent Computer Services Limited,53692
Advik Laboratories Limited,53694
Aegis Logistics Limited,53696
Aeonian Investments Company Limited,53699
Aftek Limited,53701
Agarwal Holdings Limited,53704
Agarwal Industrial Corporation Limited,53706
Agio Paper & Industries Limited,53708
Agro Dutch Industries Limited,53710
Agro Tech Foods Limited,53713
Ahlcon Parenterals (India) Limited,53716
Ahluwalia Contracts (India) Limited,53718
Ahmedabad Steelcraft Limited,53721
Ahmednagar Forgings Limited,53723
Aimco Pesticides Limited,53726
Aishwarya Telecom Limited,53729
Ajanta Pharma Limited,53731
Ajanta Soya Limited,53734
Ajcon Global Services Limited,53736
Ajel Infotech Limited,53738
Ajmera Realty and Infra India Limited,53740
Akanksha Cellular Limited,53743
Akar Tools Limited,53745
Aksh Optifibre Limited,53747
AksharChem (India) Limited,53750
Akzo Nobel Chemicals (India) Limited,53752
Akzo Nobel India Limited,53755
Alagendran Finance Limited,53758
Albert David Limited,53760
Albright & Wilson Chemicals India Limited,53762
Alchemist Corporation Limited,53765
Alchemist Limited,53767
Alchemist Realty Limited,53770
Alcobex Metals Limited,53772
Alembic Limited,53774
Alfa Ica (India) Limited,53777
Alfa Transformers Limited,53779
Alfa-Laval (India) Limited,53781
Alfavision Overseas (India) Limited,53784
Alfred Herbert (India) Limited,53786
Alka India Limited,53789
Alka Securities Limited,53791
Alkali Metals Limited,53793
Alkyl Amines Chemicals Limited,53796
AllSec Technologies Limited,53799
Allahabad Bank,53802
Allcargo Global Logistics Limited,53805
Allied Computers International (Asia) Limited,53808
Allied Digital Services Limited,53810
Almondz Capital & Management Services Limited,53813
Almondz Global Securities Limited,53815
Alna Trading & Exports Limited,53818
Alok Industries Limited,53820
Alpa Laboratories Limited,53823
Alpha Hi-Tech Fuel Limited,53826
Alphageo (India) Limited,53828
Alpine Housing Development Corporation Limited,53831
Alps Industries Limited,53833
Alstom Projects India Limited,53836
Alufluoride Limited,53839
Alumeco India Extrusion Limited,53841
Amal Limited,53843
Amani Trading & Exports Limited,53845
Amar Remedies Limited,53847
Amara Raja Batteries Limited,53850
Amarjothi Spinning Mills Limited,53853
Ambalal Sarabhai Enterprises Limited,53856
Ambica Agarbathies Aroma & Industries Limited,53859
Ambika Cotton Mills Limited,53862
Ambuja Cement Rajasthan Limited,53865
Ambuja Cements Limited,53868
Amco India Limited,53871
Amforge Industries Limited,53873
Amines & Plasticizers Limited,53876
Amit International Limited,53878
Amit Securities Limited,53880
Amit Spinning Industries Limited,53882
Amradeep Industries Limited,53885
Amrapali Industries Limited,53887
Amraworld Agrico Limited,53890
Amrit Banaspati Company Limited,53892
Amrit Corporation Limited,53894
Amrutanjan Health Care Limited,53896
Amtek Auto Limited,53899
Amtek India Limited,53902
Amulya Leasing & Finance Limited,53905
Anand Credit Limited,53907
Anand Electric Supply Company Limited,53909
Anant Raj Industries Limited,53911
Ancent Software International Limited,53914
Andhra Bank,53916
Andhra Cements Limited,53919
Andhra Petrochemicals Limited,53921
Andhra Pradesh Paper Mills Limited,53924
"Andhra Sugars Limited, The",53927
Andrew Yule and Company Limited,53930
Anik Industries Limited,53933
Anil Products Limited,53936
Anil Special Steel Industries Limited,53938
Anjani Fabrics Limited,53941
Anjani Finance Limited,53943
Anjani Portland Cement Limited,53945
Anjani Synthetics Limited,53947
Anka India Limited,53949
Ankit Metal & Power Limited,53951
Ankur Drugs & Pharma Limited,53953
Ankush Finstock Limited,53956
Anna Infrastructures Limited,53958
Ansal Buildwell Limited,53960
Ansal Housing & Construction Limited,53962
Ansal Properties and Infrastructure Limited,53965
Anshuni Commercials Limited,53968
Antarctica Limited,53970
Anu`s Laboratories Limited,53973
Anuh Pharma Limited,53975
Apar Industries Limited,53977
Apcotex Industries Limited,53980
Apis India Limited,53983
Aplab Limited,53985
Apollo Finvest (India) Limited,53987
Apollo Hospitals Enterprise Limited,53989
Apollo Tyres Limited,53992
Apple Finance Limited,53995
Aptech Limited,53998
Aqua Logistics Limited,54001
Aravali Securities & Finance Limited,54004
Arcee Industries Limited,54007
Archidply Industries Limited,54009
Archies Limited,54012
Arco Leasing Limited,54015
Arcotech Limited,54017
Ardi Investments & Trading Company Limited,54019
